Query_ID,Analysis_Name,gender,Patient_Count,blood_group,Patiend_Count,admission_type,admission_status,Patient_count,bed_status,bed_count,ward_type,ward_count,length-of-stay ranges,department_type,department_count,specialization,doctor_count,role,employee_count,Billing_Amount_Range,Bill_Count,payment_mode,bill_count,result_status,diagnostic_count,drug_category,drug_count,inventory_status,inventory_count
UA07,LENGTH OF STAY DISTRIBUTION How are admissions distributed across different length-of-stay ranges? ---------------------------------------------------,,13325.0,,,,,,,,,,4-7 Days,,,,,,,,,,,,,,,,
UA07,LENGTH OF STAY DISTRIBUTION How are admissions distributed across different length-of-stay ranges? ---------------------------------------------------,,11685.0,,,,,,,,,,8-14 Days,,,,,,,,,,,,,,,,
UA07,LENGTH OF STAY DISTRIBUTION How are admissions distributed across different length-of-stay ranges? ---------------------------------------------------,,394.0,,,,,,,,,,15+Days,,,,,,,,,,,,,,,,
UA08,DEPARTMENT TYPE DISTRIBUTION What is the composition of the hospital's departments? ----------------------------------------------------------------,,,,,,,,,,,,,Clinical,6.0,,,,,,,,,,,,,,
UA08,DEPARTMENT TYPE DISTRIBUTION What is the composition of the hospital's departments? ----------------------------------------------------------------,,,,,,,,,,,,,Admin,3.0,,,,,,,,,,,,,,
UA08,DEPARTMENT TYPE DISTRIBUTION What is the composition of the hospital's departments? ----------------------------------------------------------------,,,,,,,,,,,,,Diagnostic,2.0,,,,,,,,,,,,,,
UA09,DOCTOR SPECIALIZATION DISTRIBUTION How many doctors belong to each specialization? ----------------------------------------------------------------,,,,,,,,,,,,,,,Neurology,14.0,,,,,,,,,,,,
UA09,DOCTOR SPECIALIZATION DISTRIBUTION How many doctors belong to each specialization? ----------------------------------------------------------------,,,,,,,,,,,,,,,General Medicine,13.0,,,,,,,,,,,,
UA09,DOCTOR SPECIALIZATION DISTRIBUTION How many doctors belong to each specialization? ----------------------------------------------------------------,,,,,,,,,,,,,,,ICU,12.0,,,,,,,,,,,,
UA09,DOCTOR SPECIALIZATION DISTRIBUTION How many doctors belong to each specialization? ----------------------------------------------------------------,,,,,,,,,,,,,,,Cardiology,12.0,,,,,,,,,,,,
UA09,DOCTOR SPECIALIZATION DISTRIBUTION How many doctors belong to each specialization? ----------------------------------------------------------------,,,,,,,,,,,,,,,Pulmonology,11.0,,,,,,,,,,,,
UA09,DOCTOR SPECIALIZATION DISTRIBUTION How many doctors belong to each specialization? ----------------------------------------------------------------,,,,,,,,,,,,,,,Orthopedics,11.0,,,,,,,,,,,,
UA09,DOCTOR SPECIALIZATION DISTRIBUTION How many doctors belong to each specialization? ----------------------------------------------------------------,,,,,,,,,,,,,,,Pediatrics,10.0,,,,,,,,,,,,
UA09,DOCTOR SPECIALIZATION DISTRIBUTION How many doctors belong to each specialization? ----------------------------------------------------------------,,,,,,,,,,,,,,,Nephrology,9.0,,,,,,,,,,,,
UA09,DOCTOR SPECIALIZATION DISTRIBUTION How many doctors belong to each specialization? ----------------------------------------------------------------,,,,,,,,,,,,,,,Surgery,6.0,,,,,,,,,,,,
UA10,EMPLOYEE ROLE DISTRIBUTION How many employees belong to each role? ----------------------------------------------------------------,,,,,,,,,,,,,,,,,Nurse,109.0,,,,,,,,,,
UA10,EMPLOYEE ROLE DISTRIBUTION How many employees belong to each role? ----------------------------------------------------------------,,,,,,,,,,,,,,,,,Pharmacist,101.0,,,,,,,,,,
UA10,EMPLOYEE ROLE DISTRIBUTION How many employees belong to each role? ----------------------------------------------------------------,,,,,,,,,,,,,,,,,Technician,98.0,,,,,,,,,,
UA10,EMPLOYEE ROLE DISTRIBUTION How many employees belong to each role? ----------------------------------------------------------------,,,,,,,,,,,,,,,,,Doctor,98.0,,,,,,,,,,
UA10,EMPLOYEE ROLE DISTRIBUTION How many employees belong to each role? ----------------------------------------------------------------,,,,,,,,,,,,,,,,,Admin,94.0,,,,,,,,,,
UA11,BILLING AMOUNT DISTRIBUTION How many bills fall into each billing amount range? ----------------------------------------------------------------,,,,,,,,,,,,,,,,,,,25k-50k,20433.0,,,,,,,,
UA11,BILLING AMOUNT DISTRIBUTION How many bills fall into each billing amount range? ----------------------------------------------------------------,,,,,,,,,,,,,,,,,,,50k+,12346.0,,,,,,,,
UA11,BILLING AMOUNT DISTRIBUTION How many bills fall into each billing amount range? ----------------------------------------------------------------,,,,,,,,,,,,,,,,,,,10k-25k,11617.0,,,,,,,,
UA11,BILLING AMOUNT DISTRIBUTION How many bills fall into each billing amount range? ----------------------------------------------------------------,,,,,,,,,,,,,,,,,,,5k-10k,604.0,,,,,,,,
UA12,PAYMENT MODE DISTRIBUTION Which payment methods are most commonly used for hospital bills? -----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,Insurance,35979.0,,,,,,
UA12,PAYMENT MODE DISTRIBUTION Which payment methods are most commonly used for hospital bills? -----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,UPI,3049.0,,,,,,
UA12,PAYMENT MODE DISTRIBUTION Which payment methods are most commonly used for hospital bills? -----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,Card,3017.0,,,,,,
UA12,PAYMENT MODE DISTRIBUTION Which payment methods are most commonly used for hospital bills? -----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,Cash,2955.0,,,,,,
UA13,DIAGNOSTIC RESULT DISTRIBUTION What is the overall distribution of diagnostic results? ---------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,Abnormal,31823.0,,,,
UA13,DIAGNOSTIC RESULT DISTRIBUTION What is the overall distribution of diagnostic results? ---------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,Normal,31446.0,,,,
UA14,DRUG CATEGORY DISTRIBUTION What types of medicines make up the hospital's drug inventory? ------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,Analgesic,41.0,,
UA14,DRUG CATEGORY DISTRIBUTION What types of medicines make up the hospital's drug inventory? ------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,Antacid,35.0,,
UA14,DRUG CATEGORY DISTRIBUTION What types of medicines make up the hospital's drug inventory? ------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,Antibiotic,32.0,,
UA14,DRUG CATEGORY DISTRIBUTION What types of medicines make up the hospital's drug inventory? ------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,Steroid,30.0,,
UA14,DRUG CATEGORY DISTRIBUTION What types of medicines make up the hospital's drug inventory? ------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin,29.0,,
UA14,DRUG CATEGORY DISTRIBUTION What types of medicines make up the hospital's drug inventory? ------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,Antihypertensive,28.0,,
UA14,DRUG CATEGORY DISTRIBUTION What types of medicines make up the hospital's drug inventory? ------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,Antidiabetic,28.0,,
UA14,DRUG CATEGORY DISTRIBUTION What types of medicines make up the hospital's drug inventory? ------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,Antipyretic,27.0,,
UA15,INVENTORY STATUS DISTRIBUTION What is the current inventory health of the hospital's drugs? ----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,206.0
UA15,INVENTORY STATUS DISTRIBUTION What is the current inventory health of the hospital's drugs? ----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,44.0
