Query_ID,Analysis_Name,Department,Admission_Type,Disease_Category,Total_Admissions,Gender,Ward_Type,Total_Beds,Occupied_Beds,Available_Beds,Shift,Staff_Count,Doctor_Count,Admission_Count,Admissions_Per_Doctor,Test_Category,Total_Tests,Abnormal_Tests,Total_Bills,Total_Revenue,Average_Bill_Value,Payment_Mode,Payment_Status,Outstanding_Amount,Charge_Type,Total_Charges,Total_Charge_Amount,Average_Charge,Abnormal_Test_Rate,Specialization,Drug_Category,Inventory_Status,Total_Drugs,Total_Prescriptions,Current_Stock,Reorder_Level,Manufacturer_Country,Average_Unit_Cost,Total_Diagnostic_Tests,Revenue_Per_Admission,Tests_Per_Admission
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Infectious,727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Surgical,685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Surgical,623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Infectious,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Cardiac,602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Infectious,601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Respiratory,595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Pediatric,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Respiratory,546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Cardiac,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Surgical,541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Surgical,526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Cardiac,526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Pediatric,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Respiratory,506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Surgical,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Pediatric,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Respiratory,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Surgical,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Pediatric,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Cardiac,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Cardiac,415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Infectious,413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Respiratory,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Pediatric,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Surgical,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Respiratory,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Cardiac,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Pediatric,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Respiratory,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Cardiac,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Cardiac,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Surgical,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Pediatric,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Respiratory,334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Pediatric,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Cardiac,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Respiratory,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Hematological,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Renal,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Neurological,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Endocrine,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Orthopedic,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Elective,Trauma,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Pediatric,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Respiratory,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Trauma,281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Neurological,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Endocrine,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Orthopedic,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Cardiac,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Endocrine,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Pediatric,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Trauma,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Hematological,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Pediatric,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Renal,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Renal,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Trauma,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Orthopedic,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Hematological,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Orthopedic,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Elective,Neurological,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Cardiac,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Elective,Renal,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Orthopedic,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Neurological,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Endocrine,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Respiratory,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Neurological,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Hematological,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Surgical,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Renal,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Trauma,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Elective,Hematological,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Trauma,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Orthopedic,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Neurological,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Neurological,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Surgery,Emergency,Endocrine,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Hematological,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Hematological,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Neurological,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Neurological,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Endocrine,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Pediatric,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Orthopedic,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Hematological,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Endocrine,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Renal,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Renal,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Endocrine,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Hematological,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Trauma,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Orthopedic,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Renal,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Elective,Renal,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Pediatrics,Emergency,Endocrine,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Emergency,Emergency,Trauma,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Orthopedic,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Respiratory,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Internal Medicine,Emergency,Trauma,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Cardiac,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Neurological,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Orthopedic,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Renal,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Hematological,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Endocrine,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Renal,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Elective,Trauma,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Orthopedic,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Hematological,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Trauma,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Endocrine,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",Orthopedics,Emergency,Neurological,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Hematological,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Renal,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Trauma,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Orthopedic,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Neurological,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA01,"How does admission volume vary by Department, Admission Type and Disease Category? ============================================================",ICU,Emergency,Endocrine,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Surgery,Elective,,3205.0,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Emergency,Elective,,2867.0,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Pediatrics,Elective,,2711.0,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Surgery,Elective,,2655.0,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Internal Medicine,Elective,,2524.0,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Emergency,Elective,,2347.0,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Pediatrics,Elective,,2264.0,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Surgery,Emergency,,2191.0,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Internal Medicine,Elective,,1963.0,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Surgery,Emergency,,1886.0,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Orthopedics,Elective,,1869.0,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Emergency,Emergency,,1856.0,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Pediatrics,Emergency,,1785.0,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA02,"How are admissions distributed across Gender, Admission Type and Department? ============================================================",Internal Medicine,Emergency,,1656.0,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
